,city_cn,city_en,city_id,country,placeNumber,position_x,position_y,url,visitedNumber
147,通帕蓬,Thong pha phum,8864,thailand,1,14.733333,98.633331,//place.qyer.com/thong-pha-phum/,32
148,班纳,Bangna,13737,thailand,1,13.668978,100.613953,//place.qyer.com/bangna/,31
149,塔帕农,That phanom,8862,thailand,1,16.950001,104.733330,//place.qyer.com/that-phanom/,28
150,黎逸府,Roi Et,8832,thailand,1,16.064358,103.643776,//place.qyer.com/roi-et/,25
151,莱卡邦,Lat Krabang,14348,thailand,0,13.723379,100.783882,//place.qyer.com/lat-krabang/,24
152,阁遥岛,Ko Yao Noi,14023,thailand,0,8.119178,98.605072,//place.qyer.com/ko-yao-noi/,22
153,莫拉限,Mukdahan,8836,thailand,1,16.533333,104.716667,//place.qyer.com/mukdahan/,22
154,塔琅,Thalang,13516,thailand,0,7.884718,98.389771,//place.qyer.com/thalang/,18
155,讪巴东,San Pa Tong,14824,thailand,0,18.628622,98.895760,//place.qyer.com/san-pa-tong/,17
156,卡图区,Kathu,14224,thailand,0,7.910248,98.295357,//place.qyer.com/kathu/,14
157,兰喔,Laem ngop,8827,thailand,0,12.166667,102.433334,//place.qyer.com/laem-ngop/,13
158,北革,Pak Kret,13729,thailand,0,13.899497,100.542641,//place.qyer.com/pak-kret/,12
159,班柯木,Ko Mook,13736,thailand,0,7.373044,99.301682,//place.qyer.com/ko-mook/,11
160,武里南直辖县,Mueang Buriram District,24716,thailand,0,14.994063,103.101608,//place.qyer.com/mueang-buriram-district/,10
161,芒考,Mueang Kao,14543,thailand,0,17.034124,99.700974,//place.qyer.com/mueang-kao/,8
162,娘隆县,Nang Rong,24717,thailand,4,14.632940,102.792793,//place.qyer.com/nang-rong/,8
163,农磨,Nong bua,8840,thailand,0,15.866667,100.583336,//place.qyer.com/nong-bua/,7
164,匹莱海滩,Pilai Beach,14722,thailand,0,8.273883,98.276726,//place.qyer.com/pilai-beach/,7
165,斯里巴加湾市,Bandar seri begawan,8970,brunei,53,4.883333,114.933334,//place.qyer.com/bandar-seri-begawan/,2400
166,白拉奕,Kuala belait,8968,brunei,3,4.583333,114.183334,//place.qyer.com/kuala-belait/,331
167,邦阿,Bangar,8969,brunei,1,4.716667,115.066666,//place.qyer.com/bangar/,288
168,甘榜杰鲁登,Kampong Jerudong,14011,brunei,1,4.947628,114.835976,//place.qyer.com/kampong-jerudong/,124
169,胡志明市,Ho Chi Minh City,57,vitetnam,1310,10.823099,106.629662,//place.qyer.com/ho-chi-minh-city/,35173
170,河内,Hanoi,56,vitetnam,1193,21.033333,105.849998,//place.qyer.com/hanoi/,25089
171,芽庄,Nha trang,9774,vitetnam,639,12.250000,109.183334,//place.qyer.com/nha-trang/,21695
172,美奈,Mũi Né,9911,vitetnam,83,10.933210,108.287186,//place.qyer.com/mui-ne/,17105
173,岘港,Da Nang,9909,vitetnam,582,16.051571,108.214897,//place.qyer.com/da-nang/,16201
174,会安,Hoi an,9751,vitetnam,1030,15.880058,108.338043,//place.qyer.com/hoi-an/,15304
175,大叻,Dalat,9738,vitetnam,291,11.940419,108.458313,//place.qyer.com/dalat/,15246
176,顺化,Hue,9767,vitetnam,396,16.466667,107.599998,//place.qyer.com/hue/,8727
177,下龙市,Halong city,9772,vitetnam,15,20.971197,107.044807,//place.qyer.com/halong-city/,5383
178,芒街,Mong cai,9757,vitetnam,5,21.533333,107.966667,//place.qyer.com/mong-cai/,2257
179,海防市,Haiphong,9745,vitetnam,19,20.856112,106.682220,//place.qyer.com/haiphong/,1809
180,藩切,Phan thiet,9741,vitetnam,1,10.933333,108.099998,//place.qyer.com/phan-thiet/,1676
181,老街市,Lao cai,9753,vitetnam,2,22.483334,103.949997,//place.qyer.com/lao-cai/,1455
182,越南沙巴,Sapa,10490,vitetnam,6,22.335842,103.842575,//place.qyer.com/sapa/,1157
183,富国岛,Dao Phu Quoc,10145,vitetnam,48,10.289879,103.984016,//place.qyer.com/dao-phu-quoc/,813
184,头顿,Vung tau,9770,vitetnam,11,10.350000,107.066666,//place.qyer.com/vung-tau/,745
185,美拖,My tho,9760,vitetnam,2,10.361025,106.366600,//place.qyer.com/my-tho/,727
186,谅山,Lang son,9754,vitetnam,3,21.853708,106.761520,//place.qyer.com/lang-son/,493
187,芹苴,Can tho,9764,vitetnam,22,10.033333,105.783333,//place.qyer.com/can-tho/,384
188,富国,Duong Dong,14000,vitetnam,2,10.230256,103.967255,//place.qyer.com/duong-dong/,264
189,清化,Thanh Hoa,10566,vitetnam,2,19.809389,105.776703,//place.qyer.com/thanh-hoa/,249
190,宁平,Ninh binh,9763,vitetnam,3,20.257450,105.971741,//place.qyer.com/ninh-binh/,248
191,荣市,Vinh,9765,vitetnam,1,18.679585,105.681335,//place.qyer.com/vinh/,136
192,越南龙川,Long xuyen,9755,vitetnam,0,10.383333,105.416664,//place.qyer.com/long-xuyen/,126
193,洞海,Dong Hoi,9756,vitetnam,3,17.464161,106.624496,//place.qyer.com/dong-hoi/,110
194,槟椥,Ben tre,9736,vitetnam,1,10.233333,106.383331,//place.qyer.com/ben-tre/,98
195,河江,Ha giang,9748,vitetnam,0,22.833332,104.983330,//place.qyer.com/ha-giang/,78
196,朱笃,Chau Doc,10575,vitetnam,4,10.682081,105.082397,//place.qyer.com/chau-doc/,73
197,昆仑岛,Con Dao,10146,vitetnam,14,8.696407,106.593765,//place.qyer.com/con-dao/,73
198,永隆,Vinh long,9775,vitetnam,3,10.252389,105.968246,//place.qyer.com/vinh-long/,73
199,绥和,Tuy hoa,9769,vitetnam,2,13.082200,109.316200,//place.qyer.com/tuy-hoa/,73
200,北河,Bac ha,9735,vitetnam,1,22.533152,104.291527,//place.qyer.com/bac-ha/,60
201,高平,Cao bang,9743,vitetnam,1,22.665323,106.259529,//place.qyer.com/cao-bang/,52
202,奠边府,Dien Bien Phu,10565,vitetnam,4,21.409428,103.035583,//place.qyer.com/dien-bien-phu/,48
203,河仙,Ha tien,9749,vitetnam,1,10.383333,104.483330,//place.qyer.com/ha-tien/,44
204,薄寮,Bac lieu,9734,vitetnam,0,9.285000,105.724442,//place.qyer.com/bac-lieu/,32
205,迪石,Rach gia,9739,vitetnam,0,10.016667,105.083336,//place.qyer.com/rach-gia/,28
206,和平市,Hoa binh,9747,vitetnam,1,10.666667,105.216667,//place.qyer.com/hoa-binh/,28
207,孟来,Muong lay,9762,vitetnam,0,22.036921,103.163544,//place.qyer.com/muong-lay/,27
208,昆嵩,Kon tum,9752,vitetnam,1,14.366667,107.949997,//place.qyer.com/kon-tum/,26
209,南定市,Nam Dinh,15384,vitetnam,1,20.431753,106.179054,//place.qyer.com/nam-dinh/,18
210,邦美蜀,Buôn Ma Thuột,15610,vitetnam,0,12.666194,108.038246,//place.qyer.com/buon-ma-thuot/,16
211,枚州,Mai Chau District,9758,vitetnam,1,20.690134,105.008987,//place.qyer.com/mai-chau-district/,11
212,三歧,Tam Ky,15385,vitetnam,1,15.566895,108.482704,//place.qyer.com/tam-ky/,10
213,香水市,Hương Thủy,24639,vitetnam,1,16.419840,107.646431,//place.qyer.com/hương-thủy/,8
214,高岭,Cao lanh,9742,vitetnam,0,10.450000,105.633331,//place.qyer.com/cao-lanh/,8
215,山萝,Son La,9766,vitetnam,0,21.102228,103.728920,//place.qyer.com/son-la/,5
216,Thach Loi,Thach Loi,13515,vitetnam,0,21.219536,105.768860,//place.qyer.com/thach-loi/,4
217,奠盘县,Dien Ban,13386,vitetnam,0,15.891565,108.247787,//place.qyer.com/dien-ban/,3
218,琅勃拉邦,Luang Prabang,7731,laos,68,19.885599,102.135002,//place.qyer.com/luang-prabang/,7899
219,万象,Vientiane,7735,laos,92,17.962769,102.614426,//place.qyer.com/vientiane/,6580
220,万荣,Vang vieng,7734,laos,19,18.933332,102.449997,//place.qyer.com/vang-vieng/,4187
221,会晒,Houay Xai,10396,laos,6,20.283333,100.416664,//place.qyer.com/houay-xai/,1661
222,巴色,Pakse,7738,laos,5,15.116667,105.783333,//place.qyer.com/pakse/,1292
223,四千岛,Si Phan Don,7733,laos,8,14.047043,105.832680,//place.qyer.com/si-phan-don/,890
224,琅南塔,Luang Namtha,10397,laos,7,20.950001,101.400002,//place.qyer.com/luang-namtha/,615
225,占巴塞,Champasak,7737,laos,2,14.883333,105.866669,//place.qyer.com/champasak/,554
226,沙湾拿吉,Savannakhet,7739,laos,5,16.549999,104.750000,//place.qyer.com/savannakhet/,264
227,丰沙湾,Phonsavan,10398,laos,5,19.459999,103.180000,//place.qyer.com/phonsavan/,230
228,北宾,Pakbeng,11105,laos,0,19.898979,101.141914,//place.qyer.com/pakbeng/,214
229,芒赛,Muang Xay,11106,laos,3,20.690697,101.986168,//place.qyer.com/muang-xay/,204
230,琅多,Nong Khiaw,11107,laos,0,20.571035,102.611572,//place.qyer.com/nong-khiaw/,197
231,波罗芬高原,Bolaven plateau,7730,laos,2,15.179002,106.236206,//place.qyer.com/bolaven-plateau/,164
232,孟威,Muang Ngoi Neua,11108,laos,0,20.709000,102.675003,//place.qyer.com/muang-ngoi-neua/,122
233,他曲,Tha Khaek,11110,laos,0,17.410597,104.831886,//place.qyer.com/tha-khaek/,95
234,丰沙里省,Phongsaly,11356,laos,1,21.683332,102.099998,//place.qyer.com/phongsaly/,89
235,昆坎,Ban Khoun Kham,11111,laos,0,15.546288,105.836739,//place.qyer.com/ban-khoun-kham/,71
236,芒新,Muang sing,7732,laos,1,21.192223,101.146942,//place.qyer.com/muang-sing/,67
237,沙那武里,Sayabouli,11355,laos,0,19.270273,101.710197,//place.qyer.com/sayabouli/,47
238,孟夸,Muang Khua,11109,laos,0,21.077765,102.509727,//place.qyer.com/muang-khua/,36
239,桑怒,Xam Neua,24777,laos,1,20.417084,104.047867,//place.qyer.com/xam-neua/,2
240,吉隆坡,Kuala Lumpur,53,malaysia,1500,3.139003,101.686852,//place.qyer.com/kuala-lumpur/,108220
241,马六甲,Melaka,7825,malaysia,578,2.190499,102.251633,//place.qyer.com/melaka/,33007
242,亚庇,Kota kinabalu,7837,malaysia,749,5.980772,116.074394,//place.qyer.com/kota-kinabalu/,25230
243,沙巴,Sabah,7824,malaysia,957,5.420404,116.796783,//place.qyer.com/sabah/,24612
244,槟城,Penang,7801,malaysia,720,5.424578,100.314339,//place.qyer.com/penang/,20510
245,兰卡威,Pulau Langkawi,7820,malaysia,379,6.378194,99.790176,//place.qyer.com/pulau-langkawi/,15924
246,仙本那,Semporna,10159,malaysia,45,4.478436,118.610809,//place.qyer.com/semporna/,11559
247,哥打巴鲁,Kota Bharu,7810,malaysia,20,6.133333,102.250000,//place.qyer.com/kota-bharu/,7941
248,斗湖,Tawau,7806,malaysia,37,4.250000,117.900002,//place.qyer.com/tawau/,7430
249,新山,Johor Bahru,9811,malaysia,41,1.463430,103.754715,//place.qyer.com/johor-bahru/,6412
250,云顶高原,Genting Highlands,15179,malaysia,1,3.423978,101.793198,//place.qyer.com/genting-highlands/,5462
251,热浪岛,Pulau Redang,9908,malaysia,15,5.784441,103.006889,//place.qyer.com/pulau-redang/,4611
